antibiotic,CDS
meropenem,NZ_CAADIV010000104.1_18
meropenem,NZ_CAADIV010000120.1_6
meropenem,NZ_CAADIV010000172.1_6
meropenem,NZ_CAADIV010000313.1_2
meropenem,NZ_CAADIV010001108.1_5
meropenem,NZ_CAADIV010001324.1_1
meropenem,NZ_CAADIV010001329.1_3
meropenem,NZ_CAADIV010001459.1_2
meropenem,NZ_CAADIV010001835.1_3
meropenem,NZ_CAADIV010001910.1_1
meropenem,NZ_CAADJN010000538.1_6
meropenem,NZ_CAADJR010000001.1_431
meropenem,NZ_CAADJR010000002.1_1481
meropenem,NZ_CAADKA010000039.1_5
meropenem,NZ_CAADKA010000358.1_3
meropenem,NZ_CAADKA010000449.1_3
meropenem,NZ_CAADKA010000520.1_1
meropenem,NZ_CAADKB010000013.1_4
meropenem,NZ_CAADKB010000304.1_4
meropenem,NZ_CAADKB010000436.1_1
meropenem,NZ_CAADKB010000741.1_6
meropenem,NZ_CAADKC010000004.1_1
meropenem,NZ_CAADKC010000594.1_1
meropenem,NZ_CAADKD010000034.1_7
meropenem,NZ_CAADKD010000727.1_12
meropenem,NZ_CAADKD010000767.1_1
meropenem,NZ_CAADKF010000261.1_10
meropenem,NZ_CAADKH010000179.1_1
meropenem,NZ_CAADKH010000179.1_14
meropenem,NZ_CAADKI010000222.1_8
meropenem,NZ_CAADKI010000645.1_2
meropenem,NZ_CAADKJ010000266.1_3
meropenem,NZ_CAADKJ010000286.1_2
meropenem,NZ_CAADKJ010000378.1_8
meropenem,NZ_CAADKK010000837.1_2
meropenem,NZ_CAADKM010000110.1_4
meropenem,NZ_CAADKM010000163.1_3
meropenem,NZ_CAADKM010000163.1_4
meropenem,NZ_CAADKM010000259.1_7
meropenem,NZ_CAADKN010000724.1_7
meropenem,NZ_CAADKO010000120.1_7
meropenem,NZ_CAADKP010000022.1_9
meropenem,NZ_CAADKP010000094.1_5
meropenem,NZ_CAADKP010000095.1_2
meropenem,NZ_CAADKP010000285.1_7
meropenem,NZ_CAADKP010000290.1_8
meropenem,NZ_CAADKP010000317.1_6
meropenem,NZ_CAADKP010000639.1_5
meropenem,NZ_CAADKP010000928.1_1
meropenem,NZ_CAADKP010000975.1_5
meropenem,NZ_CAADKP010001485.1_2
meropenem,NZ_CAADKP010001595.1_1
meropenem,NZ_CAADKP010001731.1_4
meropenem,NZ_CAADKQ010000261.1_12
meropenem,NZ_CAADKQ010000264.1_15
meropenem,NZ_CAADKQ010000293.1_5
meropenem,NZ_CAADKR010000656.1_3
meropenem,NZ_CAADKS010000091.1_4
meropenem,NZ_CAADKS010000189.1_8
meropenem,NZ_CAADKS010000210.1_5
meropenem,NZ_CAADKS010000330.1_1
meropenem,NZ_CAADKS010000580.1_5
meropenem,NZ_CAADKS010000659.1_1
meropenem,NZ_CAADKS010000715.1_1
meropenem,NZ_CAADKS010000771.1_1
meropenem,NZ_CAADKS010000834.1_6
meropenem,NZ_CAADKU010000307.1_4
meropenem,NZ_CAADKU010000308.1_5
meropenem,NZ_CAADKV010001299.1_1
meropenem,NZ_CAADLA010000040.1_8
meropenem,NZ_CAADLA010000123.1_1
meropenem,NZ_CAADLA010000284.1_1
meropenem,NZ_CAADLA010000448.1_3
meropenem,NZ_CAADLA010000461.1_7
meropenem,NZ_CAADLA010000717.1_1
meropenem,NZ_CAADLA010000726.1_15
meropenem,NZ_CAADLA010000857.1_1
meropenem,NZ_CAADLA010001450.1_1
meropenem,NZ_CAADLB010000329.1_10
meropenem,NZ_CAADLB010000467.1_1
meropenem,NZ_CAADLD010000006.1_4
meropenem,NZ_CAADLG010000051.1_32
meropenem,NZ_CAADLG010000769.1_3
meropenem,NZ_CAADLG010000776.1_3
meropenem,NZ_CAADLH010000568.1_3
meropenem,NZ_CAADLH010000874.1_1
meropenem,NZ_CAADLL010000031.1_8
meropenem,NZ_CAADLL010000509.1_1
meropenem,NZ_CAADLL010000839.1_6
meropenem,NZ_CAADLL010000967.1_1
